NEWP!Models/BPNew/playeranim.j3o!0!(20.31072, 4.0, -47.205162)
NEWBasketballAgent!Models/BPNew/carlanim.j3o!1!(-9.899204, 4.0, -2.265316)
NEWBasketballAgent!Models/BPNew/bobanim.j3o!2!(-18.384735, 4.0, -49.108326)
NEWCollabAgent!Models/BPNew/alananim.j3o!3!(26.2501, 4.0, 1.8516083)
524$B(21.457087, 5.1274986, -46.843983)$0P$(20.31072, 4.0, -47.205162)$282.042$23:(0.66031617, 0.22577778, 8.629076E-8, 0.71624506);24:(0.13779002, 0.48792168, -3.025629E-8, 0.86194336);13:(0.6552526, -0.049597986, -1.8956019E-8, 0.7537799);14:(-0.2000609, 0.012930411, 2.3833262E-7, 0.9796981);10:(0.03161069, 0.020393576, -2.3704252E-9, 0.9992922);$5$0.002$0.002$1A$(-9.899204, 4.0, -2.265316)$140.90918$18$18$0.002$0.002$2A$(-18.384735, 4.0, -49.108326)$87.18428$2$2$0.002$0.002$3A$(26.2501, 4.0, 1.8516083)$244.65466$18$18$0.002$0.002$
597$B(17.216087, 5.726325, -47.113377)$0P$(20.31071, 4.018984, -47.205177)$282.79$23:(0.19457924, -0.19802782, -7.5684916E-8, 0.9606893);24:(0.30324614, 0.025531683, 3.588497E-7, 0.95257014);13:(0.060435995, 0.2654138, 1.0143938E-7, 0.96223855);14:(-0.24097505, 0.14918505, 2.3284879E-7, 0.9589968);10:(0.02696155, 0.066955194, -7.7824645E-9, 0.99739164);$5$0.105$0.105$1A$(-9.899204, 3.9727502, -2.265316)$135.90918$18$18$0.132$0.132$2A$(-18.120605, 3.9727502, -49.071613)$87.18428$2$2$0.585$0.585$3A$(26.2501, 3.9727502, 1.8516083)$239.65466$18$18$0.164$0.164$
638$B(19.959705, 3.8412032, -47.10078)$0P$(20.31071, 4.018754, -47.205177)$282.837$23:(0.19263011, -0.24359393, -9.309998E-8, 0.95055544);24:(0.13346818, 0.48457277, -3.415912E-8, 0.8645088);13:(0.047456864, 0.21612047, 8.259982E-8, 0.9752127);14:(-0.22452709, 0.16231453, 2.0749438E-7, 0.9608546);10:(0.0332276, 0.06411898, -7.452801E-9, 0.99738896);$5$0.179$0.179$1A$(-9.899208, 3.9470778, -2.2653186)$131.80806$18$18$0.206$0.206$2A$(-17.856476, 3.9455004, -49.0349)$87.18428$2$2$0.659$0.659$3A$(26.2501, 3.9019003, 1.8516083)$235.55354$18$18$0.238$0.238$
671$B(19.960127, 3.7771697, -47.342167)$0P$(20.31071, 4.0187597, -47.205177)$282.837$23:(0.19883235, -0.23978873, -9.164565E-8, 0.9502458);24:(0.13179912, 0.48661703, -3.7020936E-8, 0.86361617);13:(0.05354419, 0.21890077, 8.3662414E-8, 0.9742769);14:(-0.22371711, 0.161305, 2.0691793E-7, 0.96121347);10:(0.0332276, 0.06411898, -7.452801E-9, 0.99738896);$5$0.021$0.021$1A$(-9.899215, 3.9508107, -2.265322)$128.53789$18$18$0.247$0.247$2A$(-17.66464, 3.9379342, -49.008205)$87.18428$2$2$0.021$0.021$3A$(26.250038, 3.854851, 1.851608)$232.28337$18$18$0.279$0.279$
701$B(19.932486, 3.7803578, -47.322315)$0P$(20.31071, 4.018754, -47.205177)$282.837$23:(0.19883235, -0.23978873, -9.164565E-8, 0.9502458);24:(0.13179912, 0.48661703, -3.7020936E-8, 0.86361617);13:(0.05354419, 0.21890077, 8.3662414E-8, 0.9742769);14:(-0.22371711, 0.161305, 2.0691793E-7, 0.96121347);10:(0.0332276, 0.06411898, -7.452801E-9, 0.99738896);$5$0.053$0.053$1A$(-9.89922, 3.952221, -2.265324)$125.505$18$18$0.280$0.280$2A$(-17.539013, 3.9387898, -48.990704)$87.18428$2$2$0.053$0.053$3A$(26.250036, 3.8621752, 1.8516083)$229.25047$18$18$0.312$0.312$
723$B(19.932486, 3.780352, -47.322315)$0P$(20.31071, 4.018984, -47.205177)$282.837$23:(0.19883235, -0.23978873, -9.164565E-8, 0.9502458);24:(0.13179912, 0.48661703, -3.7020936E-8, 0.86361617);13:(0.05354419, 0.21890077, 8.3662414E-8, 0.9742769);14:(-0.22371711, 0.161305, 2.0691793E-7, 0.96121347);10:(0.0332276, 0.06411898, -7.452801E-9, 0.99738896);$5$0.084$0.084$1A$(-9.899224, 3.9527223, -2.2653253)$123.29774$18$18$0.310$0.310$2A$(-17.475344, 3.9393494, -48.98183)$87.18428$2$2$0.084$0.084$3A$(26.250036, 3.8647797, 1.8516083)$227.04321$18$18$0.342$0.342$
749$B(19.932486, 3.780582, -47.322315)$0P$(20.31071, 4.0187597, -47.205177)$282.89$23:(0.20151609, -0.24289392, -9.283244E-8, 0.9488908);24:(0.017791618, 0.55049443, -2.0175284E-7, 0.83464926);13:(0.056410637, 0.22003183, 8.40947E-8, 0.97386026);14:(-0.23823732, 0.16477257, 2.2318942E-7, 0.95712745);10:(0.028608892, 0.06461148, -7.510045E-9, 0.9975003);$5$0.106$0.106$1A$(-9.899228, 3.9534445, -2.2653282)$120.64875$18$18$0.332$0.332$2A$(-17.349535, 3.939867, -48.96423)$87.18428$2$2$0.106$0.106$3A$(26.250034, 3.8685296, 1.8516083)$224.39423$18$18$0.364$0.364$
766$B(19.958729, 3.7871447, -47.313858)$0P$(20.31071, 4.0185375, -47.205177)$282.89$23:(0.19719443, -0.24433643, -9.338375E-8, 0.94942826);24:(0.019977858, 0.54875904, -1.9838672E-7, 0.8357419);13:(0.051738285, 0.21962562, 8.3939454E-8, 0.97421134);14:(-0.23865907, 0.1652394, 2.2351342E-7, 0.9569419);10:(0.028608892, 0.06461148, -7.510045E-9, 0.9975003);$5$0.132$0.132$1A$(-9.89923, 3.9537013, -2.2653298)$118.93987$18$18$0.359$0.359$2A$(-17.286007, 3.9405754, -48.955338)$87.18428$2$2$0.132$0.132$3A$(26.250034, 3.8698628, 1.8516085)$222.68535$18$18$0.391$0.391$
786$B(19.980288, 3.7867203, -47.320316)$0P$(20.31071, 4.018754, -47.205177)$282.89$23:(0.19719443, -0.24433643, -9.338375E-8, 0.94942826);24:(0.019977858, 0.54875904, -1.9838672E-7, 0.8357419);13:(0.051738285, 0.21962562, 8.3939454E-8, 0.97421134);14:(-0.23865907, 0.1652394, 2.2351342E-7, 0.9569419);10:(0.028608892, 0.06461148, -7.510045E-9, 0.9975003);$5$0.149$0.149$1A$(-9.835474, 3.9548419, -2.2676132)$116.99523$18$18$0.376$0.376$2A$(-17.224756, 3.9330568, -48.94537)$87.18428$2$2$0.149$0.149$3A$(26.250034, 3.8709295, 1.8516085)$220.7407$18$18$0.408$0.408$
812$B(19.980288, 3.7869368, -47.320316)$0P$(20.31071, 4.0187306, -47.205177)$282.89$23:(0.19719443, -0.24433643, -9.338375E-8, 0.94942826);24:(0.019977858, 0.54875904, -1.9838672E-7, 0.8357419);13:(0.051738285, 0.21962562, 8.3939454E-8, 0.97421134);14:(-0.23865907, 0.1652394, 2.2351342E-7, 0.9569419);10:(0.028608892, 0.06461148, -7.510045E-9, 0.9975003);$5$0.169$0.169$1A$(-9.710022, 3.951814, -2.272201)$114.407$18$18$0.395$0.395$2A$(-17.100477, 3.9357932, -48.928085)$87.18428$2$2$0.169$0.169$3A$(26.250034, 3.8724651, 1.851609)$218.15248$18$18$0.427$0.427$
830$B(19.980288, 3.7869134, -47.320316)$0P$(20.31071, 4.0187597, -47.205177)$282.503$23:(0.19700514, -0.24404266, -9.327149E-8, 0.9495431);24:(0.017746026, 0.5531015, -2.028664E-7, 0.83292484);13:(0.054012068, 0.21766905, 8.3191665E-8, 0.974527);14:(-0.23201373, 0.16650477, 2.1490901E-7, 0.9583558);10:(0.024997273, 0.06514051, -7.571536E-9, 0.99756294);$5$0.195$0.195$1A$(-9.6459055, 3.9525557, -2.274482)$112.615074$18$18$0.421$0.421$2A$(-17.037046, 3.9367168, -48.919266)$87.18428$2$2$0.195$0.195$3A$(26.250034, 3.873011, 1.8516095)$216.36055$18$18$0.453$0.453$
