*------------------------------------*
NEWD!P!0!templateshirt.JPG!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(26.419708, 4.0, -10.254875)
NEWD!A!1!shirtyellowbob.jpg!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(7.134018, 4.0, -3.4332237)
NEWD!A!2!shirtyellowcarl.jpg!skinCarl.jpg!shortsblue.jpg!shoesgreen.jpg!Carl.jpg!(-20.08528, 4.0, 16.634064)
NEWD!A!3!shirtyellowalan.jpg!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(-12.630743, 4.0, 1.0160255)
NEWD!A!4!templateshirt.JPG!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(31.188646, 4.0, -27.143763)
NEWD!A!5!templateshirt.JPG!skinCarl.jpg!shortsblue.jpg!shoesgreen.jpg!Carl.jpg!(8.540983, 4.0, -10.629776)
0$B(0.0, -4.1499996, 0.0)$0P$(26.419708, 4.0, -10.254875)$258.07$leftShoulderJoint:(0.5096054, -0.8190238, -2.9742472E-8, 0.26363277);leftElbowJoint:(0.094918676, -0.26874703, 3.4160497E-8, 0.95852256);rightShoulderJoint:(-0.70354813, 0.6833332, 1.0647465E-7, 0.19512987);rightElbowJoint:(0.07100155, -0.14319642, 1.8205292E-9, 0.9871442);$0.0$1A$(7.134018, 4.0, -3.4332237)$109.72355$0$4.0$2A$(-20.08528, 4.0, 16.634064)$120.280334$0$4.0$3A$(-12.630743, 4.0, 1.0160255)$106.343475$0$4.0$4A$(31.188646, 4.0, -27.143763)$282.33316$0$0.0$5A$(8.540983, 4.0, -10.629776)$260.3942$0$0.0$
1$B(25.594084, 8.203637, -11.803207)$0P$(26.424545, 4.0786576, -10.254885)$256.376$leftShoulderJoint:(0.12018421, -0.06794843, -4.2115054E-9, 0.9904235);leftElbowJoint:(-0.15398656, 0.1220083, -1.5508505E-8, 0.9805111);rightShoulderJoint:(-0.012756268, 0.07798525, 1.0654404E-8, 0.9968729);rightElbowJoint:(-0.09213517, 0.086693496, -2.3624098E-9, 0.9919654);$0.0$1A$(7.1729455, 4.0156093, -3.453182)$119.72355$0$4.0$2A$(-20.057034, 4.015604, 16.600658)$130.28033$0$4.0$3A$(-12.594874, 4.015637, 0.99102956)$116.343475$0$4.0$4A$(31.188646, 4.015621, -27.14376)$272.33316$0$4.0$5A$(8.540981, 4.015592, -10.62978)$250.3942$0$0.0$
2$B(26.331924, 3.30011, -12.164621)$0P$(26.424545, 4.0787244, -10.254885)$256.376$leftShoulderJoint:(0.11658658, -0.073450364, -4.254135E-9, 0.9904608);leftElbowJoint:(-0.14874297, 0.12589271, -1.6002252E-8, 0.98082954);rightShoulderJoint:(-0.011812428, 0.08182192, 1.114374E-8, 0.99657696);rightElbowJoint:(-0.08829673, 0.089041956, -2.2639892E-9, 0.99210644);$0.0$1A$(7.338901, 4.052493, -3.5382361)$119.72355$0$4.0$2A$(-19.936647, 4.052482, 16.458282)$138.47499$0$4.0$3A$(-12.440784, 4.051455, 0.8836392)$124.53814$0$4.0$4A$(31.018774, 4.052522, -27.220654)$264.1385$0$0.0$5A$(8.5409775, 4.0527697, -10.629794)$242.19954$0$0.0$
3$B(26.301046, 3.300128, -12.154366)$0P$(26.424545, 4.0787244, -10.254885)$256.277$leftShoulderJoint:(0.11249944, -0.059025, -3.839717E-9, 0.9918971);leftElbowJoint:(-0.15825558, 0.11710509, -1.4885255E-8, 0.9804293);rightShoulderJoint:(0.020189703, 0.06258183, 7.87555E-9, 0.9978356);rightElbowJoint:(-0.092229694, 0.08969125, -2.3648334E-9, 0.99169004);$0.0$1A$(7.484751, 4.0650144, -3.6129816)$119.72355$0$4.0$2A$(-19.829348, 4.0631466, 16.331383)$138.47499$0$4.0$3A$(-12.292573, 4.050262, 0.77964413)$124.53814$0$4.0$4A$(30.906673, 4.0650225, -27.271393)$257.94315$0$4.0$5A$(8.540974, 4.065061, -10.629804)$236.0042$0$0.0$
4$B(26.36977, 3.2303321, -11.987943)$0P$(26.424545, 4.0787244, -10.254885)$256.277$leftShoulderJoint:(0.11230832, -0.05933684, -3.8424197E-9, 0.9919002);leftElbowJoint:(-0.15795943, 0.11734371, -1.4915587E-8, 0.9804485);rightShoulderJoint:(0.020216245, 0.06275184, 7.897572E-9, 0.9978244);rightElbowJoint:(-0.09200084, 0.08983248, -2.3589655E-9, 0.9916985);$0.0$1A$(7.588976, 4.069798, -3.6663933)$119.72355$0$4.0$2A$(-19.750523, 4.0639653, 16.238167)$138.47499$0$4.0$3A$(-12.183591, 4.042087, 0.7028284)$124.53814$0$4.0$4A$(30.7916, 4.069753, -27.293633)$253.3465$0$4.0$5A$(8.540972, 4.069703, -10.629811)$231.40755$0$0.0$
5$B(26.368261, 3.2303293, -11.987431)$0P$(26.424545, 4.0787244, -10.254885)$256.277$leftShoulderJoint:(0.11230832, -0.05933684, -3.8424197E-9, 0.9919002);leftElbowJoint:(-0.15795943, 0.11734371, -1.4915587E-8, 0.9804485);rightShoulderJoint:(0.020216245, 0.06275184, 7.897572E-9, 0.9978244);rightElbowJoint:(-0.09200084, 0.08983248, -2.3589655E-9, 0.9916985);$0.0$1A$(7.6433167, 4.0715423, -3.6942427)$119.72355$0$4.0$2A$(-19.707476, 4.06124, 16.187262)$138.47499$0$4.0$3A$(-12.139329, 4.049317, 0.67151344)$124.53814$0$4.0$4A$(30.748816, 4.07147, -27.337263)$256.90985$0$4.0$5A$(8.54097, 4.0713534, -10.629815)$227.8442$0$0.0$
6$B(26.368261, 3.2303293, -11.987431)$0P$(26.424545, 4.0787244, -10.254885)$256.277$leftShoulderJoint:(0.11230832, -0.05933684, -3.8424197E-9, 0.9919002);leftElbowJoint:(-0.15795943, 0.11734371, -1.4915587E-8, 0.9804485);rightShoulderJoint:(0.020216245, 0.06275184, 7.897572E-9, 0.9978244);rightElbowJoint:(-0.09200084, 0.08983248, -2.3589655E-9, 0.9916985);$0.0$1A$(7.6980906, 4.0729046, -3.7223103)$119.72355$0$4.0$2A$(-19.669384, 4.0646415, 16.142214)$138.47499$0$4.0$3A$(-12.08495, 4.0465918, 0.6329459)$124.53814$0$4.0$4A$(30.68727, 4.072837, -27.337128)$256.90985$0$4.0$5A$(8.540969, 4.072674, -10.629818)$224.50621$0$0.0$
7$B(26.368261, 3.2303293, -11.987431)$0P$(26.424545, 4.0787244, -10.254885)$256.277$leftShoulderJoint:(0.11230832, -0.05933684, -3.8424197E-9, 0.9919002);leftElbowJoint:(-0.15795943, 0.11734371, -1.4915587E-8, 0.9804485);rightShoulderJoint:(0.020216245, 0.06275184, 7.897572E-9, 0.9978244);rightElbowJoint:(-0.09200084, 0.08983248, -2.3589655E-9, 0.9916985);$0.0$1A$(7.753146, 4.0740123, -3.7505207)$119.72355$0$4.0$2A$(-19.626337, 4.0619164, 16.091309)$138.47499$0$4.0$3A$(-12.039815, 4.0529094, 0.60088253)$124.53814$0$4.0$4A$(30.627514, 4.0739517, -27.353117)$253.70786$0$4.0$5A$(8.540968, 4.07373, -10.62982)$221.30421$0$0.0$
8$B(26.368261, 3.2303293, -11.987431)$0P$(26.424545, 4.0787244, -10.254885)$256.277$leftShoulderJoint:(0.11230832, -0.05933684, -3.8424197E-9, 0.9919002);leftElbowJoint:(-0.15795943, 0.11734371, -1.4915587E-8, 0.9804485);rightShoulderJoint:(0.020216245, 0.06275184, 7.897572E-9, 0.9978244);rightElbowJoint:(-0.09200084, 0.08983248, -2.3589655E-9, 0.9916985);$0.0$1A$(7.808424, 4.0749187, -3.7788434)$119.72355$0$4.0$2A$(-19.5881, 4.0651484, 16.046095)$138.47499$0$4.0$3A$(-11.985503, 4.0501842, 0.5622216)$124.53814$0$4.0$4A$(30.578913, 4.0749116, -27.391678)$256.5064$0$4.0$5A$(8.540967, 4.074575, -10.629822)$218.50566$0$0.0$
9$B(26.368261, 3.2303293, -11.987431)$0P$(26.424545, 4.0787244, -10.254885)$261.926$leftShoulderJoint:(0.111261554, -0.06358522, -3.9140904E-9, 0.9917549);leftElbowJoint:(-0.17208259, 0.18778524, -2.3869427E-8, 0.96701825);rightShoulderJoint:(0.048216026, 0.020384034, 1.6422266E-9, 0.9986289);rightElbowJoint:(-0.06830134, 0.11114437, -1.7512938E-9, 0.9914544);$0.0$1A$(7.863862, 4.075679, -3.8072448)$119.72355$0$4.0$2A$(-19.545053, 4.062423, 15.99519)$138.47499$0$4.0$3A$(-11.931238, 4.047459, 0.5234954)$124.53814$0$4.0$4A$(30.516644, 4.0756335, -27.394804)$253.88997$0$0.0$5A$(8.540966, 4.075251, -10.629824)$215.88922$0$0.0$
10$B(26.329317, 3.1541843, -11.742142)$0P$(26.424545, 4.0787244, -10.254885)$261.926$leftShoulderJoint:(0.12172479, -0.04538637, -3.740922E-9, 0.99152565);leftElbowJoint:(-0.19469179, 0.1718465, -2.184345E-8, 0.9656935);rightShoulderJoint:(0.051089983, 0.013505944, 6.6377104E-10, 0.99860275);rightElbowJoint:(-0.08313463, 0.10463429, -2.1316295E-9, 0.9910299);$0.0$1A$(7.9194155, 4.0763326, -3.8357005)$119.72355$0$4.0$2A$(-19.506788, 4.0656047, 15.949933)$138.47499$0$4.0$3A$(-11.886022, 4.0536027, 0.49117053)$124.53814$0$4.0$4A$(30.457628, 4.076228, -27.397764)$256.49368$0$4.0$5A$(8.540965, 4.075792, -10.629825)$218.49292$0$0.0$
11$B(26.390362, 3.154307, -11.763376)$0P$(26.424545, 4.0787244, -10.254885)$261.926$leftShoulderJoint:(0.12172479, -0.04538637, -3.740922E-9, 0.99152565);leftElbowJoint:(-0.19469179, 0.1718465, -2.184345E-8, 0.9656935);rightShoulderJoint:(0.051089983, 0.013505944, 6.6377104E-10, 0.99860275);rightElbowJoint:(-0.08313463, 0.10463429, -2.1316295E-9, 0.9910299);$0.0$1A$(7.9194155, 4.0763326, -3.8357005)$119.72355$0$4.0$2A$(-19.506788, 4.0656047, 15.949933)$138.47499$0$4.0$3A$(-11.886022, 4.0536027, 0.49117053)$124.53814$0$4.0$4A$(30.457628, 4.076228, -27.397764)$254.92992$0$4.0$5A$(8.540965, 4.075792, -10.629825)$220.05669$0$0.0$
12$B(26.390362, 3.154307, -11.763376)$0P$(26.424545, 4.0787244, -10.254885)$261.926$leftShoulderJoint:(0.12172479, -0.04538637, -3.740922E-9, 0.99152565);leftElbowJoint:(-0.19469179, 0.1718465, -2.184345E-8, 0.9656935);rightShoulderJoint:(0.051089983, 0.013505944, 6.6377104E-10, 0.99860275);rightElbowJoint:(-0.08313463, 0.10463429, -2.1316295E-9, 0.9910299);$0.0$1A$(7.9747243, 4.0771685, -3.8640301)$119.72355$0$4.0$2A$(-19.463741, 4.0628796, 15.899028)$138.47499$0$4.0$3A$(-11.831818, 4.0508776, 0.4523587)$124.53814$0$4.0$4A$(30.412695, 4.0767865, -27.441261)$251.73276$0$4.0$5A$(8.540964, 4.0762243, -10.629826)$223.25385$0$0.0$
13$B(26.390362, 3.154307, -11.763376)$0P$(26.424545, 4.0787244, -10.254885)$261.926$leftShoulderJoint:(0.12172479, -0.04538637, -3.740922E-9, 0.99152565);leftElbowJoint:(-0.19469179, 0.1718465, -2.184345E-8, 0.9656935);rightShoulderJoint:(0.051089983, 0.013505944, 6.6377104E-10, 0.99860275);rightElbowJoint:(-0.08313463, 0.10463429, -2.1316295E-9, 0.9910299);$0.0$1A$(8.030224, 4.077847, -3.8924215)$119.72355$0$4.0$2A$(-19.425415, 4.0659833, 15.8537)$138.47499$0$4.0$3A$(-11.777662, 4.0481524, 0.41347945)$124.53814$0$4.0$4A$(30.359646, 4.077449, -27.474075)$249.31383$0$4.0$5A$(8.540963, 4.0765705, -10.629827)$225.67278$0$0.0$
14$B(26.390362, 3.154307, -11.763376)$0P$(26.424545, 4.0787244, -10.254885)$261.926$leftShoulderJoint:(0.12172479, -0.04538637, -3.740922E-9, 0.99152565);leftElbowJoint:(-0.19469179, 0.1718465, -2.184345E-8, 0.9656935);rightShoulderJoint:(0.051089983, 0.013505944, 6.6377104E-10, 0.99860275);rightElbowJoint:(-0.08313463, 0.10463429, -2.1316295E-9, 0.9910299);$0.0$1A$(8.080319, 4.0822825, -3.9176736)$119.72355$0$4.0$2A$(-19.382368, 4.063258, 15.802794)$138.47499$0$4.0$3A$(-11.732407, 4.054156, 0.38090768)$124.53814$0$4.0$4A$(30.314096, 4.078328, -27.51621)$252.57532$0$4.0$5A$(8.540962, 4.0768476, -10.6298275)$228.93427$0$0.0$
15$B(26.390362, 3.154307, -11.763376)$0P$(26.424545, 4.0787244, -10.254885)$261.926$leftShoulderJoint:(0.12172479, -0.04538637, -3.740922E-9, 0.99152565);leftElbowJoint:(-0.19469179, 0.1718465, -2.184345E-8, 0.9656935);rightShoulderJoint:(0.051089983, 0.013505944, 6.6377104E-10, 0.99860275);rightElbowJoint:(-0.08313463, 0.10463429, -2.1316295E-9, 0.9910299);$0.0$1A$(8.139645, 4.0795574, -3.948086)$119.72355$0$4.0$2A$(-19.343956, 4.066262, 15.757367)$138.47499$0$4.0$3A$(-11.678345, 4.0514307, 0.34189793)$124.53814$0$4.0$4A$(30.248125, 4.075603, -27.525814)$250.30359$0$0.0$5A$(8.540961, 4.0770693, -10.629828)$231.206$0$0.0$
16$B(26.390362, 3.154307, -11.763376)$0P$(26.424545, 4.0787244, -10.254885)$261.926$leftShoulderJoint:(0.12172479, -0.04538637, -3.740922E-9, 0.99152565);leftElbowJoint:(-0.19469179, 0.1718465, -2.184345E-8, 0.9656935);rightShoulderJoint:(0.051089983, 0.013505944, 6.6377104E-10, 0.99860275);rightElbowJoint:(-0.08313463, 0.10463429, -2.1316295E-9, 0.9910299);$0.0$1A$(8.139645, 4.0795574, -3.948086)$119.72355$0$4.0$2A$(-19.343956, 4.066262, 15.757367)$138.47499$0$4.0$3A$(-11.678345, 4.0514307, 0.34189793)$124.53814$0$4.0$4A$(30.248125, 4.075603, -27.525814)$248.6018$0$4.0$5A$(8.540961, 4.0770693, -10.629828)$232.90778$0$0.0$
17$B(26.390362, 3.154307, -11.763376)$0P$(26.424545, 4.0787244, -10.254885)$264.832$leftShoulderJoint:(0.124345064, -0.04399232, -3.768372E-9, 0.99126333);leftElbowJoint:(-0.19087441, 0.1936983, -2.4621038E-8, 0.96231383);rightShoulderJoint:(0.055676363, 4.2454735E-4, -1.1776505E-9, 0.9984488);rightElbowJoint:(-0.06459271, 0.10287721, -1.656202E-9, 0.9925946);$0.0$1A$(8.19897, 4.0768323, -3.9784985)$119.72355$0$4.0$2A$(-19.300909, 4.0635366, 15.706462)$138.47499$0$4.0$3A$(-11.624321, 4.0487056, 0.30283564)$124.53814$0$4.0$4A$(30.194525, 4.076319, -27.557636)$245.62518$0$4.0$5A$(8.540961, 4.0772467, -10.629829)$235.8844$0$0.0$
18$B(26.380415, 3.1271996, -11.675933)$0P$(26.424545, 4.0787244, -10.254885)$264.832$leftShoulderJoint:(0.12896271, -0.034135435, -3.6510874E-9, 0.99106175);leftElbowJoint:(-0.20293628, 0.18485641, -2.3497142E-8, 0.9615846);rightShoulderJoint:(0.058048654, -0.0027538617, -1.652947E-9, 0.99830997);rightElbowJoint:(-0.07190384, 0.09989787, -1.8436644E-9, 0.99239624);$0.0$1A$(8.253678, 4.0781226, -4.0065217)$119.72355$0$4.0$2A$(-19.257862, 4.0608115, 15.655557)$138.47499$0$4.0$3A$(-11.57908, 4.0546093, 0.27003944)$124.53814$0$4.0$4A$(30.142416, 4.07681, -27.59238)$243.3613$0$4.0$5A$(8.540961, 4.0773883, -10.62983)$238.14828$0$0.0$
