*------------------------------------*
NEWD!P!0!templateshirt.JPG!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(28.33449, 4.0, 5.0551033)
NEWD!A!1!shirtyellowbob.jpg!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(4.188759, 4.0, -49.317314)
NEWD!A!2!shirtyellowcarl.jpg!skinCarl.jpg!shortsblue.jpg!shoesgreen.jpg!Carl.jpg!(-25.907146, 4.0, -22.273657)
NEWD!A!3!shirtyellowalan.jpg!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(-15.410032, 4.0, 5.6521225)
NEWD!A!4!templateshirt.JPG!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(42.169712, 4.0, -24.390009)
0$B(0.0, -4.1499996, 0.0)$0P$(28.33449, 4.0, 5.0551033)$274.539$leftShoulderJoint:(0.29368997, -0.93570536, -2.7521036E-8, 0.19545268);leftElbowJoint:(-0.029218147, -0.26376444, 3.352716E-8, 0.9641445);rightShoulderJoint:(-0.9336291, 0.31877473, 6.309012E-8, 0.16346104);rightElbowJoint:(-0.019697968, -0.15693101, -5.0506954E-10, 0.9874131);$0.0$1A$(4.188759, 4.0, -49.317314)$24.223923$0$4.0$2A$(-25.907146, 4.0, -22.273657)$63.2595$0$0.0$3A$(-15.410032, 4.0, 5.6521225)$90.78191$0$4.0$4A$(42.169712, 4.0, -24.390009)$278.01074$0$4.0$
NEWD!N!5!templateshirt.JPG!skin1.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(40.724583, 5.0, -35.2231)
1$B(28.11332, 8.46739, 3.7966933)$0P$(28.335857, 4.078292, 5.054078)$273.843$leftShoulderJoint:(0.060468078, 0.07108979, 2.3777572E-10, 0.9956354);leftElbowJoint:(-0.15939018, 0.074459866, -9.464612E-9, 0.9844036);rightShoulderJoint:(0.019988531, 0.09235499, 1.1839691E-8, 0.9955255);rightElbowJoint:(0.088139206, 1.467157E-4, 2.2599507E-9, 0.9961082);$0.0$1A$(4.223333, 4.0156093, -49.290516)$34.223923$0$4.0$2A$(-25.907148, 4.015623, -22.273659)$63.2595$0$0.0$3A$(-15.366411, 4.0156446, 5.6494164)$90.78191$0$4.0$4A$(42.126965, 4.0156417, -24.380892)$288.01074$0$4.0$5N$(40.724583, 5.0, -35.2231)$0.0$0$0.0$
2$B(27.965273, 3.0887005, 3.9112644)$0P$(28.335857, 4.078289, 5.054078)$273.843$leftShoulderJoint:(0.060468078, 0.07108979, 2.3777572E-10, 0.9956354);leftElbowJoint:(-0.15939018, 0.074459866, -9.464612E-9, 0.9844036);rightShoulderJoint:(0.019988531, 0.09235499, 1.1839691E-8, 0.9955255);rightElbowJoint:(0.088139206, 1.467157E-4, 2.2599507E-9, 0.9961082);$0.0$1A$(4.370607, 4.0524983, -49.17618)$44.223923$0$4.0$2A$(-25.907156, 4.0528865, -22.273666)$73.2595$0$4.0$3A$(-15.18031, 4.052577, 5.637869)$90.78191$0$4.0$4A$(41.93854, 4.0447707, -24.326221)$298.01074$0$4.0$5N$(40.724583, 4.97275, -35.2231)$0.0$0$0.0$
3$B(27.965273, 3.0886977, 3.9112644)$0P$(28.335857, 4.07841, 5.054078)$273.843$leftShoulderJoint:(0.060468078, 0.07108979, 2.3777572E-10, 0.9956354);leftElbowJoint:(-0.15939018, 0.074459866, -9.464612E-9, 0.9844036);rightShoulderJoint:(0.019988531, 0.09235499, 1.1839691E-8, 0.9955255);rightElbowJoint:(0.088139206, 1.467157E-4, 2.2599507E-9, 0.9961082);$0.0$1A$(4.564858, 4.0656056, -49.081352)$51.712505$0$4.0$2A$(-25.69334, 4.0678616, -22.278402)$80.74808$0$4.0$3A$(-14.967084, 4.0677485, 5.6246424)$90.78191$0$4.0$4A$(41.74909, 4.064435, -24.240238)$290.52216$0$4.0$5N$(40.724583, 4.9019003, -35.2231)$0.0$0$0.0$
4$B(27.965273, 3.0888188, 3.9112644)$0P$(28.335857, 4.078289, 5.054078)$273.795$leftShoulderJoint:(0.06096433, 0.07133838, 2.3223154E-10, 0.99558735);leftElbowJoint:(-0.1599668, 0.07305255, -9.285727E-9, 0.98441553);rightShoulderJoint:(0.019976178, 0.09140437, 1.1713537E-8, 0.99561346);rightElbowJoint:(0.08967721, -4.3058212E-4, 2.2993862E-9, 0.9959708);$0.0$1A$(4.6750836, 4.0659556, -49.027546)$56.83249$0$4.0$2A$(-25.57014, 4.067763, -22.280975)$85.86806$0$4.0$3A$(-14.848912, 4.0715203, 5.617312)$90.78191$0$4.0$4A$(41.632996, 4.069326, -24.225529)$290.52216$0$4.0$5N$(40.724583, 4.8501253, -35.2231)$0.0$0$0.0$
5$B(27.972366, 3.0876274, 3.9156268)$0P$(28.335857, 4.07841, 5.054078)$273.795$leftShoulderJoint:(0.06096433, 0.07133838, 2.3223154E-10, 0.99558735);leftElbowJoint:(-0.1599668, 0.07305255, -9.285727E-9, 0.98441553);rightShoulderJoint:(0.019976178, 0.09140437, 1.1713537E-8, 0.99561346);rightElbowJoint:(0.08967721, -4.3058212E-4, 2.2993862E-9, 0.9959708);$0.0$1A$(4.734994, 4.0632305, -48.998302)$59.632168$0$4.0$2A$(-25.503489, 4.0650377, -22.282352)$88.66774$0$4.0$3A$(-14.787447, 4.072862, 5.6134996)$90.78191$0$4.0$4A$(41.575317, 4.0710297, -24.205236)$287.72247$0$4.0$5N$(40.724583, 4.8201504, -35.2231)$0.0$0$0.0$
6$B(27.972366, 3.0877485, 3.9156268)$0P$(28.335857, 4.0782933, 5.054078)$273.795$leftShoulderJoint:(0.06096433, 0.07133838, 2.3223154E-10, 0.99558735);leftElbowJoint:(-0.1599668, 0.07305255, -9.285727E-9, 0.98441553);rightShoulderJoint:(0.019976178, 0.09140437, 1.1713537E-8, 0.99561346);rightElbowJoint:(0.08967721, -4.3058212E-4, 2.2993862E-9, 0.9959708);$0.0$1A$(4.7808967, 4.069501, -48.975994)$59.632168$0$4.0$2A$(-25.443558, 4.0676847, -22.283575)$88.66774$0$4.0$3A$(-14.725646, 4.073935, 5.609666)$90.78191$0$4.0$4A$(41.515366, 4.0723796, -24.191149)$284.32248$0$4.0$5N$(40.724583, 4.7874503, -35.2231)$0.0$0$0.0$
7$B(27.972366, 3.0876317, 3.9156268)$0P$(28.335857, 4.078289, 5.054078)$273.795$leftShoulderJoint:(0.06096433, 0.07133838, 2.3223154E-10, 0.99558735);leftElbowJoint:(-0.1599668, 0.07305255, -9.285727E-9, 0.98441553);rightShoulderJoint:(0.019976178, 0.09140437, 1.1713537E-8, 0.99561346);rightElbowJoint:(0.08967721, -4.3058212E-4, 2.2993862E-9, 0.9959708);$0.0$1A$(4.840807, 4.066776, -48.94675)$59.632168$0$4.0$2A$(-25.376905, 4.0649595, -22.28492)$88.66774$0$4.0$3A$(-14.659107, 4.07121, 5.605537)$90.78191$0$4.0$4A$(41.453743, 4.073448, -24.184912)$287.0042$0$4.0$5N$(40.724583, 4.752025, -35.2231)$0.0$0$0.0$
8$B(27.972366, 3.0876274, 3.9156268)$0P$(28.335857, 4.07841, 5.054078)$273.795$leftShoulderJoint:(0.06096433, 0.07133838, 2.3223154E-10, 0.99558735);leftElbowJoint:(-0.1599668, 0.07305255, -9.285727E-9, 0.98441553);rightShoulderJoint:(0.019976178, 0.09140437, 1.1713537E-8, 0.99561346);rightElbowJoint:(0.08967721, -4.3058212E-4, 2.2993862E-9, 0.9959708);$0.0$1A$(4.9007173, 4.0640507, -48.917507)$59.632168$0$4.0$2A$(-25.317043, 4.0676556, -22.286125)$88.66774$0$4.0$3A$(-14.597715, 4.072611, 5.601726)$90.78191$0$4.0$4A$(41.395294, 4.0742674, -24.163477)$284.15457$0$4.0$5N$(40.724583, 4.7138753, -35.2231)$0.0$0$0.0$
9$B(27.972366, 3.0877485, 3.9156268)$0P$(28.335857, 4.0782933, 5.054078)$273.795$leftShoulderJoint:(0.06096433, 0.07133838, 2.3223154E-10, 0.99558735);leftElbowJoint:(-0.1599668, 0.07305255, -9.285727E-9, 0.98441553);rightShoulderJoint:(0.019976178, 0.09140437, 1.1713537E-8, 0.99561346);rightElbowJoint:(0.08967721, -4.3058212E-4, 2.2993862E-9, 0.9959708);$0.0$1A$(4.954438, 4.0668387, -48.89128)$59.632168$0$4.0$2A$(-25.25039, 4.0649304, -22.287443)$88.66774$0$4.0$3A$(-14.535976, 4.0737333, 5.5978956)$90.78191$0$4.0$4A$(41.332897, 4.0749297, -24.166029)$284.15457$0$4.0$5N$(40.724583, 4.6730003, -35.2231)$0.0$0$0.0$
