*------------------------------------*
NEWD!P!0!templateshirt.JPG!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(41.442863, 4.0, -3.4252815)
NEWD!A!1!shirtyellowbob.jpg!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(5.1782646, 4.0, -2.4962654)
NEWD!A!2!shirtyellowcarl.jpg!skinCarl.jpg!shortsblue.jpg!shoesgreen.jpg!Carl.jpg!(-18.152615, 4.0, 1.1153564)
NEWD!A!3!shirtyellowalan.jpg!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(-7.595375, 4.0, -19.452581)
NEWD!A!4!templateshirt.JPG!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(30.006912, 4.0, -25.468725)
0$B(0.0, -4.1499996, 0.0)$0P$(41.442863, 4.0, -3.4252815)$270.0$0$0$1A$(5.1782646, 4.0, -2.4962654)$91.46747$0$1$2A$(-18.152615, 4.0, 1.1153564)$94.69237$0$1$3A$(-7.595375, 4.0, -19.452581)$72.23628$0$0$4A$(30.006912, 4.0, -25.468725)$281.0584$0$1$
NEWD!N!5!templateshirt.JPG!skin1.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(22.941164, 5.0, -6.5546837)
1$B(41.5786, 3.0354393, -4.950614)$0P$(41.448154, 4.0784693, -3.4252815)$270.0$0$0$1A$(5.2219877, 4.0155735, -2.4988227)$91.46747$0$1$2A$(-18.114998, 4.0156097, 1.0930154)$104.69237$0$1$3A$(-7.595378, 4.0156164, -19.45258)$82.23628$0$0$4A$(29.940952, 3.997275, -25.45905)$291.0584$0$1$5N$(22.941164, 5.0, -6.5546837)$0.0$leftShoulderJoint:(0.0, 0.0, 0.0, 1.0);leftElbowJoint:(0.0, 0.0, 0.0, 1.0);rightShoulderJoint:(0.0, 0.0, 0.0, 1.0);rightElbowJoint:(0.0, 0.0, 0.0, 1.0);$0$
2$B(41.583893, 3.1139085, -4.950614)$0P$(41.44816, 4.0787816, -3.4252815)$270.0$0$0$1A$(5.408281, 4.052366, -2.5097165)$91.46747$0$1$2A$(-17.954641, 4.0524526, 0.99766666)$104.69237$0$1$3A$(-7.5953884, 4.052861, -19.452574)$92.23628$0$1$4A$(29.756596, 4.0219927, -25.377193)$301.0584$0$1$5N$(22.941164, 4.97275, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
3$B(41.583897, 3.1142209, -4.950614)$0P$(41.44816, 4.0787015, -3.4252815)$270.0$0$0$1A$(5.635404, 4.0564375, -2.5229993)$91.46747$0$1$2A$(-17.749725, 4.0663505, 0.9477714)$104.69237$0$1$3A$(-7.384177, 4.0679016, -19.485266)$97.11565$0$1$4A$(29.604815, 4.0551386, -25.260942)$305.93777$0$1$5N$(22.941164, 4.9019003, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
4$B(41.583897, 3.1141407, -4.950614)$0P$(41.44816, 4.0787153, -3.4252815)$270.0$0$0$1A$(5.7557106, 4.058525, -2.5300388)$91.46747$0$1$2A$(-17.648836, 4.0757422, 0.9218661)$104.69237$0$1$3A$(-7.26735, 4.0718107, -19.503038)$97.11565$0$1$4A$(29.51411, 4.063399, -25.193882)$303.33734$0$1$5N$(22.941164, 4.8501253, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
5$B(41.583897, 3.1141546, -4.950614)$0P$(41.44816, 4.0787153, -3.4252815)$270.0$0$0$1A$(5.7557106, 4.058525, -2.5300388)$91.46747$0$1$2A$(-17.648836, 4.0757422, 0.9218661)$104.69237$0$1$3A$(-7.26735, 4.0718107, -19.503038)$97.11565$0$1$4A$(29.51411, 4.063399, -25.193882)$304.5492$0$1$5N$(22.941164, 4.8501253, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
6$B(41.583897, 3.1141546, -4.950614)$0P$(41.44816, 4.079154, -3.4252815)$270.0$0$0$1A$(5.8222632, 4.0558, -2.5339365)$91.46747$0$1$2A$(-17.58793, 4.0762763, 0.9074759)$104.69237$0$1$3A$(-7.2014275, 4.0690856, -19.512968)$97.11565$0$1$4A$(29.474693, 4.066343, -25.1492)$302.8594$0$1$5N$(22.941164, 4.8201504, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
7$B(41.583897, 3.1145933, -4.950614)$0P$(41.44816, 4.079154, -3.4252815)$270.0$0$0$1A$(5.8222632, 4.0558, -2.5339365)$91.46747$0$1$2A$(-17.58793, 4.0762763, 0.9074759)$104.69237$0$1$3A$(-7.2014275, 4.0690856, -19.512968)$97.11565$0$1$4A$(29.474693, 4.066343, -25.1492)$301.94815$0$1$5N$(22.941164, 4.8201504, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
8$B(41.583897, 3.1145933, -4.950614)$0P$(41.44816, 4.0791845, -3.4252815)$270.0$0$0$1A$(5.879911, 4.0602107, -2.5373075)$91.46747$0$1$2A$(-17.5308, 4.0783997, 0.89382154)$104.69237$0$1$3A$(-7.141239, 4.0709915, -19.521965)$97.11565$0$1$4A$(29.418127, 4.0687804, -25.12861)$304.42902$0$1$5N$(22.941164, 4.7874503, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
9$B(41.583897, 3.1146238, -4.950614)$0P$(41.44816, 4.0791845, -3.4252815)$270.0$0$0$1A$(5.879911, 4.0602107, -2.5373075)$91.46747$0$1$2A$(-17.5308, 4.0783997, 0.89382154)$104.69237$0$1$3A$(-7.141239, 4.0709915, -19.521965)$97.11565$0$1$4A$(29.418127, 4.0687804, -25.12861)$303.4851$0$1$5N$(22.941164, 4.7874503, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
10$B(41.583897, 3.1146238, -4.950614)$0P$(41.44816, 4.0792236, -3.4252815)$270.0$0$0$1A$(5.9464636, 4.0574856, -2.5412052)$91.46747$0$1$2A$(-17.465912, 4.0756745, 0.8785223)$104.69237$0$1$3A$(-7.080525, 4.0724807, -19.53102)$97.11565$0$1$4A$(29.361307, 4.070729, -25.106949)$302.02625$0$1$5N$(22.941164, 4.752025, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
11$B(41.583897, 3.114663, -4.950614)$0P$(41.44816, 4.0792236, -3.4252815)$270.0$0$0$1A$(5.9464636, 4.0574856, -2.5412052)$91.46747$0$1$2A$(-17.465912, 4.0756745, 0.8785223)$104.69237$0$1$3A$(-7.080525, 4.0724807, -19.53102)$97.11565$0$1$4A$(29.361307, 4.070729, -25.106949)$302.02625$0$1$5N$(22.941164, 4.752025, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
